Semana|Articulo|Unidades|Venta_Pesos|Num_Tiendas|Cant_Tickets
20190918|Art_01|89301|2014625.4981|1|5.51
20200115|Art_01|44710|1088903.49|1.11|5.31
20200909|Art_01|59393|1520705.9029|1.08|4.38
20201216|Art_01|35851|918757.34|1.09|4.64
20210106|Art_01|39455|1003456.5134|1.17|4.79
20210127|Art_01|42734|1025209.6956|1.17|4.25
20191225|Art_01|51504|1255664.28|1.07|5.54
20200513|Art_01|59029|1380415.5735|1.07|3.19
20201007|Art_01|74575|1722585.7419|1.09|4.68
20201230|Art_01|37477|960499.81|1.09|4.37
20200708|Art_01|85868|2000284.9966|1.09|3.12
20200916|Art_01|71024|1643894.0139|1.08|4.47
20210224|Art_01|47352|1145473.676|1.17|4.53
20190522|Art_01|88817|2163414.3512|1|5.61
20200325|Art_01|51148|1309634.7699|1.07|4.71
20200101|Art_01|47355|1151316.31|1.07|4.72
20210113|Art_01|37404|895757.329|1.17|4.29
20191106|Art_01|46016|1120944.31|1|4.99
20191127|Art_01|47463|1163718.31|1.07|4.64
20200805|Art_01|67845|1738753.06|1.09|2.77
20190109|Art_01|39524|963451.72|1|4.93
20210714|Art_01|88130|2069445.404|1.16|4.86
20201104|Art_01|43881|1124402.1|1.09|3.35
20210217|Art_01|31198|828669.8285|1.17|4.5
20190710|Art_01|108337|2410394.8491|1|5.5
20200930|Art_01|76803|1770274.146|1.08|4.57
20200408|Art_01|48014|1228804.76|1.09|3.79
20190313|Art_01|70805|1622706.2224|1|5.25
20200205|Art_01|39313|1118254.67|1.07|5.11
20210324|Art_01|50137|1341083.2494|1.17|4.47
20200429|Art_01|69794|1633531.8795|1.09|4.13
20200415|Art_01|48535|1243279.68|1.06|4.09
20191113|Art_01|47888|1167880.69|1.07|5.26
20191030|Art_01|46287|1131155.7|1|5.12
20210512|Art_01|88219|2076749.1083|1.16|5.07
20210505|Art_01|94184|2219052.9877|1.16|4.4
20190717|Art_01|83041|2011493.9305|1|5.57
20200122|Art_01|41652|1008502.95|1.11|5.35
20210120|Art_01|41381|994366.7494|1.17|4.5
20210602|Art_01|82925|2217398.01|1.16|5.23
20190417|Art_01|71937|1752935.7879|1|5.6
20200226|Art_01|60690|1439971.1764|1.06|5.06
20200826|Art_01|66220|1707827.14|1.09|4.54
20210317|Art_01|71251|1711382.2402|1.17|5
20190327|Art_01|52097|1271044.1499|1|5.18
20210303|Art_01|63304|1524812.0013|1.17|4.31
20200923|Art_01|70381|1626432.4172|1.08|4.45
20190619|Art_01|119655|2659215.0442|1|5.67
20191009|Art_01|78062|1755753.18|1|5.33
20191120|Art_01|49509|1208789.3005|1.07|5.49
20190828|Art_01|67579|1648463.87|1|5.38
20191016|Art_01|54850|1338736.8097|1|5.33
20201202|Art_01|38523|986876.97|1.09|3.68
20210623|Art_01|95712|2264521.7059|1.16|4.95
20200610|Art_01|69925|1776857.6805|1.09|4.46
20190626|Art_01|115180|2551292.4356|1|5.49
20200701|Art_01|75754|1762044.497|1.09|3.88
20210616|Art_01|76320|2029338.2381|1.16|5.02
20191218|Art_01|53322|1301342.14|1.07|5.33
20210421|Art_01|67279|1784320.9876|1.17|5.08
20190612|Art_01|94524|2280622.347|1|5.54
20190130|Art_01|36403|894717.12|1|4.97
20210428|Art_01|89999|2127167.6914|1.17|5
20191204|Art_01|52124|1274042.71|1.07|4.66
20210331|Art_01|63540|1703959.18|1.17|5.15
20200729|Art_01|59371|1522539.99|1.09|4.34
20200129|Art_01|40910|996029.01|1.11|5.28
20190123|Art_01|37390|918111.160000001|1|5.04
20210609|Art_01|78089|2085545.17|1.16|5.03
20190206|Art_01|44400|1088314.88|1|5.23
20200311|Art_01|63113|1490199.7909|1.06|5.05
20200819|Art_01|69472|1791514.97|1.09|4.64
20190227|Art_01|55689|1279877.6635|1|5.12
20201118|Art_01|44620|1144988.78|1.09|4.62
20191002|Art_01|76810|1729627.6586|1|5.42
20200401|Art_01|53821|1382379.85|1.06|3.96
20200304|Art_01|68473|1621278.1913|1.06|4.37
20190904|Art_01|71534|1743674.92|1|5.57
20201209|Art_01|29562|759066.36|1.09|3.84
20190605|Art_01|74290|1807765.47|1|5.61
20210526|Art_01|73235|1956307.5305|1.16|4.76
20191211|Art_01|51056|1245078.08|1.07|5.56
20190515|Art_01|100813|2254614.6624|1|5.54
20190529|Art_01|83352|2031328.34|1|5.5
20200422|Art_01|55490|1409788.8886|1.09|4.25
20190213|Art_01|38053|931962.26|1|5
20201021|Art_01|56036|1438419.13|1.09|4.7
20210203|Art_01|35299|944935.1898|1.17|3.94
20200715|Art_01|76692|1967286.3502|1.09|4.54
20190220|Art_01|53703|1309718.4829|1|5.34
20210630|Art_01|83215|1958802.9931|1.16|4.9
20200108|Art_01|44289|1077975.63|1.11|5.19
20200722|Art_01|70045|1793114.4|1.09|4.56
20190410|Art_01|61894|1508980.07|1|5.37
20200812|Art_01|64649|1655954.32|1.09|4.45
20200520|Art_01|64021|1636597.8807|1.09|1
20200624|Art_01|81782|1899017.0861|1.09|4.45
20190807|Art_01|81541|1979054.15|1|5.64
20210707|Art_01|88805|2083309.1358|1.16|3.58
20200617|Art_01|77377|1801721.9525|1.09|4.54
20210519|Art_01|83188|1961515.9339|1.16|5.01
20201014|Art_01|57276|1472702.9702|1.09|4.58
20200212|Art_01|42487|1106828.57|1.08|4.57
20200603|Art_01|55077|1406287.52|1.09|3.43
20190703|Art_01|108400|2404891.3066|1|5.63
20190731|Art_01|72110|1750117.22|1|5.45
20190501|Art_01|96968|2164994.1971|1|5.51
20200219|Art_01|51165|1307511.4905|1.07|5.28
20200318|Art_01|80762|1900240.8011|1.06|5.26
20200506|Art_01|71977|1678494.6539|1.05|2.72
20190320|Art_01|62393|1424716.665|1|5.26
20190925|Art_01|80830|1821265.4194|1|5.27
20210414|Art_01|72829|1945966.03|1.17|5.08
20190911|Art_01|60900|1479435.5128|1|5.27
20210407|Art_01|58812|1574286.05|1.17|4.99
20201028|Art_01|49116|1260542.63|1.09|4.46
20190116|Art_01|34025|827828.08|1|4.98
20210210|Art_01|38218|1024713.82|1.17|4.58
20201223|Art_01|39853|1021923.75|1.09|4.74
20190424|Art_01|98046|2208907.395|1|5.37
20200527|Art_01|61780|1582931.48|1.09|1.39
20210310|Art_01|58957|1416348.4911|1.17|4.8
20190306|Art_01|70682|1620329.2112|1|5.5
20190724|Art_01|70748|1719570.51|1|5.38
20190821|Art_01|81590|1982311|1|5.67
20190403|Art_01|58866|1438366.53|1|5.44
20201125|Art_01|38057|974567.36|1.09|4.46
20190814|Art_01|76242|1852171.91|1|5.49
20201111|Art_01|41748|1069115.15|1.09|4.47
20190508|Art_01|96125|2149136.2286|1|5.55
20200902|Art_01|66532|1712742.4|1.09|3.49
20191023|Art_01|49249|1204266.09|1|5.26
20190828|Art_02|134967|2114284.1701|1|5.38
20200819|Art_02|119867|1895649.4473|1.09|4.64
20190724|Art_02|129284|2033826.6623|1|5.38
20190710|Art_02|118606|1997616.046|1|5.5
20200429|Art_02|100952|1626370.8058|1.09|4.13
20200527|Art_02|125318|1919383.4949|1.09|1.39
20190508|Art_02|105971|1781293.7099|1|5.55
20200826|Art_02|113757|1798884.9101|1.09|4.54
20200520|Art_02|128043|1954375.095|1.09|1
20191023|Art_02|120939|1823430.2206|1|5.26
20210630|Art_02|121784|2124338.7208|1.16|4.9
20190605|Art_02|132607|2031968.9565|1|5.61
20190327|Art_02|104684|1564039.7089|1|5.18
20210407|Art_02|124800|2160404.1604|1.17|4.99
20200226|Art_02|108072|1747945.7805|1.06|5.06
20190306|Art_02|96083|1485626.3575|1|5.5
20190911|Art_02|122207|1914842.1439|1|5.27
20191009|Art_02|120349|1891808.9514|1|5.33
20190522|Art_02|147700|2272790.392|1|5.61
20200122|Art_02|77005|1244508.55|1.11|5.35
20200108|Art_02|71886|1168400.5|1.11|5.19
20200506|Art_02|109627|1772752.1424|1.05|2.72
20210602|Art_02|147338|2594616.5248|1.16|5.23
20210324|Art_02|95000|1646968.1898|1.17|4.47
20200101|Art_02|69310|1125252.37|1.07|4.72
20190814|Art_02|147494|2314701.3947|1|5.49
20190731|Art_02|133713|2096402.7197|1|5.45
20190213|Art_02|53075|904448.590000001|1|5
20210519|Art_02|126348|2227923.4583|1.16|5.01
20201007|Art_02|94793|1562585.319|1.09|4.68
20201118|Art_02|79861|1312868.4311|1.09|4.62
20190227|Art_02|82170|1242913.3409|1|5.12
20210616|Art_02|144951|2550253.6059|1.16|5.02
20190515|Art_02|109451|1825214.3196|1|5.54
20200722|Art_02|123314|1936395.6388|1.09|4.56
20191016|Art_02|124000|1875838.888|1|5.33
20200422|Art_02|104513|1594821.2314|1.09|4.25
20200401|Art_02|114681|1758243.7281|1.06|3.96
20190410|Art_02|143570|2143843.5616|1|5.37
20190313|Art_02|82258|1393480.0604|1|5.25
20200902|Art_02|120661|1907070.603|1.09|3.49
20191218|Art_02|79105|1280114.73|1.07|5.33
20210310|Art_02|94309|1658423.8127|1.17|4.8
20191030|Art_02|111023|1675619.5545|1|5.12
20190904|Art_02|141595|2213845.9633|1|5.57
20210210|Art_02|77677|1387065.6699|1.17|4.58
20200805|Art_02|119964|1888201.078|1.09|2.77
20191106|Art_02|89821|1515622.4808|1|4.99
20210714|Art_02|118848|2080812.0642|1.16|4.86
20210106|Art_02|80942|1448050.3894|1.17|4.79
20191127|Art_02|86402|1421887.7801|1.07|4.64
20190807|Art_02|150972|2368678.2541|1|5.64
20190918|Art_02|131969|2081371.9486|1|5.51
20190612|Art_02|155929|2388384.2444|1|5.54
20210127|Art_02|67129|1197898.7102|1.17|4.25
20201209|Art_02|58725|1048998.0398|1.09|3.84
20210609|Art_02|149363|2627318.0467|1.16|5.03
20200408|Art_02|102796|1571736.473|1.09|3.79
20200311|Art_02|114094|1844344.1102|1.06|5.05
20200318|Art_02|138944|2239874.7175|1.06|5.26
20210224|Art_02|81452|1434232.3161|1.17|4.53
20210331|Art_02|114000|1974587.3982|1.17|5.15
20201028|Art_02|93464|1533517.9012|1.09|4.46
20190821|Art_02|156607|2444367.9561|1|5.67
20200115|Art_02|76397|1233593.5003|1.11|5.31
20190109|Art_02|55323|935570.05|1|4.93
20210505|Art_02|139479|2412589.5959|1.16|4.4
20190925|Art_02|116760|1841680.1254|1|5.27
20200708|Art_02|123387|2013573.9632|1.09|3.12
20201230|Art_02|79506|1421002.5802|1.09|4.37
20201223|Art_02|81823|1461722.2188|1.09|4.74
20200617|Art_02|114208|1861332.8675|1.09|4.54
20190703|Art_02|108107|1832724.8601|1|5.63
20210203|Art_02|71826|1283331.2602|1.17|3.94
20191113|Art_02|85729|1443994.21|1.07|5.26
20210421|Art_02|130974|2266521.1523|1.17|5.08
20190626|Art_02|111356|1882824.3099|1|5.49
20191204|Art_02|86923|1411461.7106|1.07|4.66
20201216|Art_02|72873|1300528.5493|1.09|4.64
20201021|Art_02|104534|1720809.5516|1.09|4.7
20190417|Art_02|160280|2398740.3184|1|5.6
20200129|Art_02|82946|1342217.2201|1.11|5.28
20190220|Art_02|72339|1231414.8803|1|5.34
20190619|Art_02|120620|2035213.6591|1|5.67
20190116|Art_02|49137|829134.15|1|4.98
20190717|Art_02|133339|2103807.1854|1|5.57
20200205|Art_02|89121|1448466.21|1.07|5.11
20210526|Art_02|137667|2424343.7286|1.16|4.76
20210317|Art_02|106553|1873243.4813|1.17|5
20190130|Art_02|54995|938767.83|1|4.97
20190403|Art_02|120053|1791189.7023|1|5.44
20210120|Art_02|65976|1179995.0197|1.17|4.5
20210707|Art_02|125695|2194954.237|1.16|3.58
20190320|Art_02|74966|1261427.491|1|5.26
20201104|Art_02|83675|1375480.17|1.09|3.35
20190206|Art_02|66253|1130873.01|1|5.23
20210303|Art_02|104323|1832412.8203|1.17|4.31
20191002|Art_02|115709|1823487.3273|1|5.42
20200916|Art_02|92379|1520876.8212|1.08|4.47
20201125|Art_02|70665|1163592.5701|1.09|4.46
20200415|Art_02|101789|1551515.9412|1.06|4.09
20190501|Art_02|115521|1946387.6317|1|5.51
20200219|Art_02|114018|1843202.67|1.07|5.28
20201202|Art_02|70026|1150234.8002|1.09|3.68
20200909|Art_02|101856|1613465.7216|1.08|4.38
20200212|Art_02|98424|1590951.24|1.08|4.57
20210623|Art_02|139036|2431611.2503|1.16|4.95
20210512|Art_02|134992|2376985.6588|1.16|5.07
20200812|Art_02|113658|1787690.0451|1.09|4.45
20200729|Art_02|105765|1662359.0472|1.09|4.34
20210217|Art_02|65587|1171811.139|1.17|4.5
20200325|Art_02|111358|1713660.2766|1.07|4.71
20201111|Art_02|75646|1242000.6305|1.09|4.47
20201014|Art_02|105774|1740266.4815|1.09|4.58
20200603|Art_02|113208|1737142.5214|1.09|3.43
20190529|Art_02|144685|2213982.1335|1|5.5
20190424|Art_02|135378|2287240.5709|1|5.37
20200304|Art_02|122991|1986535.9106|1.06|4.37
20200923|Art_02|89070|1470496.4201|1.08|4.45
20210428|Art_02|127645|2245512.4809|1.17|5
20190123|Art_02|56764|970437.71|1|5.04
20210113|Art_02|58590|1048208.5698|1.17|4.29
20200624|Art_02|117499|1916092.8226|1.09|4.45
20191120|Art_02|95662|1613451.37|1.07|5.49
20210414|Art_02|146769|2531071.6389|1.17|5.08
20191225|Art_02|75932|1230687.2001|1.07|5.54
20200701|Art_02|112303|1836153.0703|1.09|3.88
20200715|Art_02|133628|2100629.7546|1.09|4.54
20200610|Art_02|131026|2011750.9524|1.09|4.46
20200513|Art_02|97458|1567085.0319|1.07|3.19
20191211|Art_02|80647|1304020.0701|1.07|5.56
20200930|Art_02|94824|1563558.96|1.08|4.57
20200819|Art_03|200349|4572650.5007|1.09|4.64
20210707|Art_03|274501|6181317.5041|1.16|3.58
20200826|Art_03|190917|4328534.5005|1.09|4.54
20210609|Art_03|198275|5440986.25|1.16|5.03
20191211|Art_03|134615|3147988.2001|1.07|5.56
20210120|Art_03|91611|2510317.99|1.17|4.5
20190925|Art_03|112816|3028036.5|1|5.27
20201230|Art_03|158151|3459495.49|1.09|4.37
20210407|Art_03|230437|5171750.5001|1.17|4.99
20210303|Art_03|122512|3355382.25|1.17|4.31
20200729|Art_03|131710|3573904.5|1.09|4.34
20190522|Art_03|162165|4355111.2|1|5.61
20190109|Art_03|82992|2215560|1|4.93
20200617|Art_03|173836|3903672.4998|1.09|4.54
20210203|Art_03|135492|3061506.0798|1.17|3.94
20210428|Art_03|172287|4710778|1.17|5
20200610|Art_03|139466|3705830.9999|1.09|4.46
20191113|Art_03|123379|2894544.7|1.07|5.26
20191225|Art_03|147935|3438325.2013|1.07|5.54
20200715|Art_03|179237|4860408.5|1.09|4.54
20201202|Art_03|118420|2709534.3203|1.09|3.68
20200304|Art_03|112991|3058609.5|1.06|4.37
20190130|Art_03|103731|2425537.5|1|4.97
20200701|Art_03|188715|4176775.9997|1.09|3.88
20200520|Art_03|117824|3175543.5|1.09|1
20200909|Art_03|172287|3899744.4891|1.08|4.38
20190911|Art_03|140300|3396742.2|1|5.27
20200318|Art_03|124129|3335311.5|1.06|5.26
20190220|Art_03|129550|3026886|1|5.34
20190605|Art_03|146374|3927042.8|1|5.61
20200902|Art_03|183331|4160814.3212|1.09|3.49
20201223|Art_03|153555|3397555.1508|1.09|4.74
20210421|Art_03|241313|5406993.2498|1.17|5.08
20190508|Art_03|168757|4107347.8998|1|5.55
20210526|Art_03|178518|4900770.5|1.16|4.76
20190821|Art_03|195108|4713055.9993|1|5.67
20200422|Art_03|138186|3151447.5002|1.09|4.25
20210331|Art_03|216463|4882058.7508|1.17|5.15
20210616|Art_03|218394|5887416.75|1.16|5.02
20210210|Art_03|146145|3283364.5007|1.17|4.58
20200429|Art_03|123888|3333154.0001|1.09|4.13
20201209|Art_03|116890|2606548.4701|1.09|3.84
20201007|Art_03|122919|3360151.9402|1.09|4.68
20190814|Art_03|153836|4094138.7|1|5.49
20200527|Art_03|122882|3299001|1.09|1.39
20210310|Art_03|116927|3200872|1.17|4.8
